"prop"	"symbol"	"redirected"
"http://dbpedia.org/resource/Category:Provincial_and_territorial_symbols_of_Canada"	"http://dbpedia.org/resource/Symbols_of_Yukon"	
"http://dbpedia.org/resource/Category:Provincial_and_territorial_symbols_of_Canada"	"http://dbpedia.org/resource/Symbols_of_the_Northwest_Territories"	
"http://dbpedia.org/resource/Category:Provincial_and_territorial_symbols_of_Canada"	"http://dbpedia.org/resource/Symbols_of_Nova_Scotia"	
"http://dbpedia.org/resource/Category:Provincial_and_territorial_symbols_of_Canada"	"http://dbpedia.org/resource/Symbols_of_New_Brunswick"	
"http://dbpedia.org/resource/Category:Provincial_and_territorial_symbols_of_Canada"	"http://dbpedia.org/resource/List_of_Canadian_provincial_and_territorial_symbols"	
"http://dbpedia.org/resource/Category:Provincial_and_territorial_symbols_of_Canada"	"http://dbpedia.org/resource/Symbols_of_Manitoba"	
"http://dbpedia.org/resource/Category:Provincial_and_territorial_symbols_of_Canada"	"http://dbpedia.org/resource/Symbols_of_Nunavut"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_British_Columbia"	"http://dbpedia.org/resource/Symbols_of_British_Columbia"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_British_Columbia"	"http://dbpedia.org/resource/Flag_of_British_Columbia"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_British_Columbia"	"http://dbpedia.org/resource/Jade"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_British_Columbia"	"http://dbpedia.org/resource/Cornus_nuttallii"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_British_Columbia"	"http://dbpedia.org/resource/Great_Seal_of_British_Columbia"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_British_Columbia"	"http://dbpedia.org/resource/Coat_of_arms_of_British_Columbia"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_British_Columbia"	"http://dbpedia.org/resource/Thuja_plicata"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_British_Columbia"	"http://dbpedia.org/resource/Steller's_jay"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Manitoba"	"http://dbpedia.org/resource/American_bison"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Manitoba"	"http://dbpedia.org/resource/Flag_of_Manitoba"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Manitoba"	"http://dbpedia.org/resource/Picea_glauca"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Manitoba"	"http://dbpedia.org/resource/Great_grey_owl"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Manitoba"	"http://dbpedia.org/resource/Coat_of_arms_of_Manitoba"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Manitoba"	"http://dbpedia.org/resource/Symbols_of_Manitoba"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Flag_of_Labrador"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Ode_to_Newfoundland"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Sarracenia_purpurea"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Coat_of_arms_of_Labrador"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Coat_of_arms_of_Newfoundland_and_Labrador"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Postage_stamps_and_postal_history_of_Newfoundland"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Newfoundland_pony"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Order_of_Newfoundland_and_Labrador"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Atlantic_puffin"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Flag_of_Newfoundland_and_Labrador"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Labrador_Retriever"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Labradorite"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Symbols_of_Newfoundland_and_Labrador"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Newfoundland_(dog)"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Newfoundland_dollar"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Picea_mariana"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Ode_to_Labrador"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Great_Seal_of_Newfoundland_and_Labrador"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Newfoundland_and_Labrador"	"http://dbpedia.org/resource/Lagopus"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Nova_Scotia"	"http://dbpedia.org/resource/Bluenose"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Nova_Scotia"	"http://dbpedia.org/resource/Bluenose_II"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Nova_Scotia"	"http://dbpedia.org/resource/Nova_Scotia_Duck_Tolling_Retriever"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Nova_Scotia"	"http://dbpedia.org/resource/Osprey"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Nova_Scotia"	"http://dbpedia.org/resource/Flag_of_Nova_Scotia"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Nova_Scotia"	"http://dbpedia.org/resource/Symbols_of_Nova_Scotia"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Nova_Scotia"	"http://dbpedia.org/resource/Coat_of_arms_of_Nova_Scotia"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Ontario"	"http://dbpedia.org/resource/Flag_of_Ontario"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Ontario"	"http://dbpedia.org/resource/Amethyst"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Ontario"	"http://dbpedia.org/resource/Pinus_strobus"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Ontario"	"http://dbpedia.org/resource/Symbols_of_Ontario"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Ontario"	"http://dbpedia.org/resource/Franco-Ontarian_flag"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Ontario"	"http://dbpedia.org/resource/Trillium_grandiflorum"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Ontario"	"http://dbpedia.org/resource/Great_Seal_of_Ontario"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Ontario"	"http://dbpedia.org/resource/Coat_of_arms_of_Ontario"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Prince_Edward_Island"	"http://dbpedia.org/resource/Symbols_of_Prince_Edward_Island"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Prince_Edward_Island"	"http://dbpedia.org/resource/Flag_of_Prince_Edward_Island"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Prince_Edward_Island"	"http://dbpedia.org/resource/Great_Seal_of_Prince_Edward_Island"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Prince_Edward_Island"	"http://dbpedia.org/resource/Coat_of_arms_of_Prince_Edward_Island"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Quebec"	"http://dbpedia.org/resource/Flag_of_Quebec"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Quebec"	"http://dbpedia.org/resource/Fleur-de-lis"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Quebec"	"http://dbpedia.org/resource/Iris_versicolor"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Quebec"	"http://dbpedia.org/resource/Coat_of_arms_of_Quebec"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Quebec"	"http://dbpedia.org/resource/Symbols_of_Quebec"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Quebec"	"http://dbpedia.org/resource/Snowy_owl"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Quebec"	"http://dbpedia.org/resource/Flag_of_Carillon"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Quebec"	"http://dbpedia.org/resource/Je_me_souviens"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Quebec"	"http://dbpedia.org/resource/Betula_alleghaniensis"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Quebec"	"http://dbpedia.org/resource/Tudor_Crown_(heraldry)"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Quebec"	"http://dbpedia.org/resource/Great_Seal_of_Quebec"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Saskatchewan"	"http://dbpedia.org/resource/White-tailed_deer"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Saskatchewan"	"http://dbpedia.org/resource/Hesperostipa_comata"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Saskatchewan"	"http://dbpedia.org/resource/Symbols_of_Saskatchewan"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Saskatchewan"	"http://dbpedia.org/resource/Flag_of_Saskatchewan"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Saskatchewan"	"http://dbpedia.org/resource/Sharp-tailed_grouse"	
"http://dbpedia.org/resource/Category:Provincial_symbols_of_Saskatchewan"	"http://dbpedia.org/resource/Great_Seal_of_Saskatchewan"	
